symbol,name,suffix,market,sector
MDT,Medtronic,,US,Health Care
MRK,Merck & Co.,,US,Health Care
META,Meta Platforms,,US,Communication Services
MET,MetLife,,US,Financials
MTD,Mettler Toledo,,US,Health Care
MGM,MGM Resorts,,US,Consumer Discretionary
MCHP,Microchip Technology,,US,Information Technology
MU,Micron Technology,,US,Information Technology
MSFT,Microsoft,,US,Information Technology
MAA,Mid-America Apartment Communities,,US,Real Estate
MRNA,Moderna,,US,Health Care
TAP,Molson Coors Beverage Company,,US,Consumer Staples
MDLZ,Mondelez International,,US,Consumer Staples
MPWR,Monolithic Power Systems,,US,Information Technology
MNST,Monster Beverage,,US,Consumer Staples
MCO,Moody's Corporation,,US,Financials
MS,Morgan Stanley,,US,Financials
MOS,Mosaic Company (The),,US,Materials
MSI,Motorola Solutions,,US,Information Technology
MSCI,MSCI Inc.,,US,Financials
NDAQ,"Nasdaq, Inc.",,US,Financials
NTAP,NetApp,,US,Information Technology
NFLX,Netflix,,US,Communication Services
NEM,Newmont,,US,Materials
NWSA,News Corp (Class A),,US,Communication Services
NWS,News Corp (Class B),,US,Communication Services
NEE,NextEra Energy,,US,Utilities
NKE,"Nike, Inc.",,US,Consumer Discretionary
NI,NiSource,,US,Utilities
NDSN,Nordson Corporation,,US,Industrials
NSC,Norfolk Southern,,US,Industrials
NTRS,Northern Trust,,US,Financials
NOC,Northrop Grumman,,US,Industrials
NCLH,Norwegian Cruise Line Holdings,,US,Consumer Discretionary
NRG,NRG Energy,,US,Utilities
NUE,Nucor,,US,Materials
NVDA,Nvidia,,US,Information Technology
NVR,"NVR, Inc.",,US,Consumer Discretionary
NXPI,NXP Semiconductors,,US,Information Technology
ORLY,O’Reilly Automotive,,US,Consumer Discretionary
OXY,Occidental Petroleum,,US,Energy
ODFL,Old Dominion,,US,Industrials
OMC,Omnicom Group,,US,Communication Services
ON,ON Semiconductor,,US,Information Technology
OKE,Oneok,,US,Energy
ORCL,Oracle Corporation,,US,Information Technology
OTIS,Otis Worldwide,,US,Industrials
PCAR,Paccar,,US,Industrials
PKG,Packaging Corporation of America,,US,Materials
PLTR,Palantir Technologies,,US,Information Technology
PANW,Palo Alto Networks,,US,Information Technology
PSKY,Paramount Skydance Corporation,,US,Communication Services
